縣市別,區里,平均每戶合計金額
新北市淡水區,民安里,2985.8888888888887
新北市新店區,下城里,2858.2033271719038
新北市鶯歌區,其他,2354.0
新北市板橋區,福丘里,2280.7917098445596
新北市新店區,華城里,2180.044982698962
新北市板橋區,挹秀里,2165.4108983799706
新北市新店區,長春里,1947.0471204188482
新北市新店區,寶興里,1921.1296121097446
新北市五股區,德泰里,1845.2660028449502
新北市新店區,中山里,1817.1409942950286
新北市板橋區,深丘里,1767.993394980185
新北市板橋區,景星里,1672.4863523573201
新北市新店區,中央里,1659.2643626570916
新北市林口區,南勢里,1625.831421911422
新北市汐止區,長青里,1515.7915492957748
